linea,campo,mensaje
500,general,"SQLSTATE[HY093]: Invalid parameter number"
501,general,"SQLSTATE[HY093]: Invalid parameter number"
502,general,"SQLSTATE[HY093]: Invalid parameter number"
503,general,"SQLSTATE[HY093]: Invalid parameter number"
504,general,"SQLSTATE[HY093]: Invalid parameter number"
505,general,"SQLSTATE[HY093]: Invalid parameter number"
506,general,"SQLSTATE[HY093]: Invalid parameter number"
507,general,"SQLSTATE[HY093]: Invalid parameter number"
508,general,"SQLSTATE[HY093]: Invalid parameter number"
509,general,"SQLSTATE[HY093]: Invalid parameter number"
510,general,"SQLSTATE[HY093]: Invalid parameter number"
511,general,"SQLSTATE[HY093]: Invalid parameter number"
512,general,"SQLSTATE[HY093]: Invalid parameter number"
513,general,"SQLSTATE[HY093]: Invalid parameter number"
514,general,"SQLSTATE[HY093]: Invalid parameter number"
515,general,"SQLSTATE[HY093]: Invalid parameter number"
516,general,"SQLSTATE[HY093]: Invalid parameter number"
517,general,"SQLSTATE[HY093]: Invalid parameter number"
518,general,"SQLSTATE[HY093]: Invalid parameter number"
519,general,"SQLSTATE[HY093]: Invalid parameter number"
520,general,"SQLSTATE[HY093]: Invalid parameter number"
521,general,"SQLSTATE[HY093]: Invalid parameter number"
522,general,"SQLSTATE[HY093]: Invalid parameter number"
523,general,"SQLSTATE[HY093]: Invalid parameter number"
524,general,"SQLSTATE[HY093]: Invalid parameter number"
525,general,"SQLSTATE[HY093]: Invalid parameter number"
526,general,"SQLSTATE[HY093]: Invalid parameter number"
527,general,"SQLSTATE[HY093]: Invalid parameter number"
528,general,"SQLSTATE[HY093]: Invalid parameter number"
529,general,"SQLSTATE[HY093]: Invalid parameter number"
530,general,"SQLSTATE[HY093]: Invalid parameter number"
531,general,"SQLSTATE[HY093]: Invalid parameter number"
532,general,"SQLSTATE[HY093]: Invalid parameter number"
533,general,"SQLSTATE[HY093]: Invalid parameter number"
534,general,"SQLSTATE[HY093]: Invalid parameter number"
535,general,"SQLSTATE[HY093]: Invalid parameter number"
536,general,"SQLSTATE[HY093]: Invalid parameter number"
537,general,"SQLSTATE[HY093]: Invalid parameter number"
538,general,"SQLSTATE[HY093]: Invalid parameter number"
539,general,"SQLSTATE[HY093]: Invalid parameter number"
540,general,"SQLSTATE[HY093]: Invalid parameter number"
541,general,"SQLSTATE[HY093]: Invalid parameter number"
542,general,"SQLSTATE[HY093]: Invalid parameter number"
543,general,"SQLSTATE[HY093]: Invalid parameter number"
544,general,"SQLSTATE[HY093]: Invalid parameter number"
545,general,"SQLSTATE[HY093]: Invalid parameter number"
546,general,"SQLSTATE[HY093]: Invalid parameter number"
547,general,"SQLSTATE[HY093]: Invalid parameter number"
548,general,"SQLSTATE[HY093]: Invalid parameter number"
549,general,"SQLSTATE[HY093]: Invalid parameter number"
550,general,"SQLSTATE[HY093]: Invalid parameter number"
551,general,"SQLSTATE[HY093]: Invalid parameter number"
552,general,"SQLSTATE[HY093]: Invalid parameter number"
553,general,"SQLSTATE[HY093]: Invalid parameter number"
554,general,"SQLSTATE[HY093]: Invalid parameter number"
555,general,"SQLSTATE[HY093]: Invalid parameter number"
556,general,"SQLSTATE[HY093]: Invalid parameter number"
557,general,"SQLSTATE[HY093]: Invalid parameter number"
558,general,"SQLSTATE[HY093]: Invalid parameter number"
559,general,"SQLSTATE[HY093]: Invalid parameter number"
560,general,"SQLSTATE[HY093]: Invalid parameter number"
561,general,"SQLSTATE[HY093]: Invalid parameter number"
562,general,"SQLSTATE[HY093]: Invalid parameter number"
563,general,"SQLSTATE[HY093]: Invalid parameter number"
564,general,"SQLSTATE[HY093]: Invalid parameter number"
565,general,"SQLSTATE[HY093]: Invalid parameter number"
566,general,"SQLSTATE[HY093]: Invalid parameter number"
567,general,"SQLSTATE[HY093]: Invalid parameter number"
568,general,"SQLSTATE[HY093]: Invalid parameter number"
569,general,"SQLSTATE[HY093]: Invalid parameter number"
570,general,"SQLSTATE[HY093]: Invalid parameter number"
571,general,"SQLSTATE[HY093]: Invalid parameter number"
572,general,"SQLSTATE[HY093]: Invalid parameter number"
573,general,"SQLSTATE[HY093]: Invalid parameter number"
574,general,"SQLSTATE[HY093]: Invalid parameter number"
575,general,"SQLSTATE[HY093]: Invalid parameter number"
576,general,"SQLSTATE[HY093]: Invalid parameter number"
577,general,"SQLSTATE[HY093]: Invalid parameter number"
578,general,"SQLSTATE[HY093]: Invalid parameter number"
579,general,"SQLSTATE[HY093]: Invalid parameter number"
580,general,"SQLSTATE[HY093]: Invalid parameter number"
581,general,"SQLSTATE[HY093]: Invalid parameter number"
582,general,"SQLSTATE[HY093]: Invalid parameter number"
583,general,"SQLSTATE[HY093]: Invalid parameter number"
584,general,"SQLSTATE[HY093]: Invalid parameter number"
585,general,"SQLSTATE[HY093]: Invalid parameter number"
586,general,"SQLSTATE[HY093]: Invalid parameter number"
587,general,"SQLSTATE[HY093]: Invalid parameter number"
588,general,"SQLSTATE[HY093]: Invalid parameter number"
589,general,"SQLSTATE[HY093]: Invalid parameter number"
590,general,"SQLSTATE[HY093]: Invalid parameter number"
591,general,"SQLSTATE[HY093]: Invalid parameter number"
592,general,"SQLSTATE[HY093]: Invalid parameter number"
593,general,"SQLSTATE[HY093]: Invalid parameter number"
594,general,"SQLSTATE[HY093]: Invalid parameter number"
595,general,"SQLSTATE[HY093]: Invalid parameter number"
596,general,"SQLSTATE[HY093]: Invalid parameter number"
597,general,"SQLSTATE[HY093]: Invalid parameter number"
598,general,"SQLSTATE[HY093]: Invalid parameter number"
599,general,"SQLSTATE[HY093]: Invalid parameter number"
600,general,"SQLSTATE[HY093]: Invalid parameter number"
601,general,"SQLSTATE[HY093]: Invalid parameter number"
602,general,"SQLSTATE[HY093]: Invalid parameter number"
603,general,"SQLSTATE[HY093]: Invalid parameter number"
604,general,"SQLSTATE[HY093]: Invalid parameter number"
605,general,"SQLSTATE[HY093]: Invalid parameter number"
606,general,"SQLSTATE[HY093]: Invalid parameter number"
607,general,"SQLSTATE[HY093]: Invalid parameter number"
608,general,"SQLSTATE[HY093]: Invalid parameter number"
609,general,"SQLSTATE[HY093]: Invalid parameter number"
610,general,"SQLSTATE[HY093]: Invalid parameter number"
611,general,"SQLSTATE[HY093]: Invalid parameter number"
612,general,"SQLSTATE[HY093]: Invalid parameter number"
613,general,"SQLSTATE[HY093]: Invalid parameter number"
614,general,"SQLSTATE[HY093]: Invalid parameter number"
615,general,"SQLSTATE[HY093]: Invalid parameter number"
616,general,"SQLSTATE[HY093]: Invalid parameter number"
617,general,"SQLSTATE[HY093]: Invalid parameter number"
618,general,"SQLSTATE[HY093]: Invalid parameter number"
619,general,"SQLSTATE[HY093]: Invalid parameter number"
620,general,"SQLSTATE[HY093]: Invalid parameter number"
621,general,"SQLSTATE[HY093]: Invalid parameter number"
622,general,"SQLSTATE[HY093]: Invalid parameter number"
623,general,"SQLSTATE[HY093]: Invalid parameter number"
624,general,"SQLSTATE[HY093]: Invalid parameter number"
625,general,"SQLSTATE[HY093]: Invalid parameter number"
626,general,"SQLSTATE[HY093]: Invalid parameter number"
627,general,"SQLSTATE[HY093]: Invalid parameter number"
628,general,"SQLSTATE[HY093]: Invalid parameter number"
629,general,"SQLSTATE[HY093]: Invalid parameter number"
630,general,"SQLSTATE[HY093]: Invalid parameter number"
631,general,"SQLSTATE[HY093]: Invalid parameter number"
632,general,"SQLSTATE[HY093]: Invalid parameter number"
633,general,"SQLSTATE[HY093]: Invalid parameter number"
634,general,"SQLSTATE[HY093]: Invalid parameter number"
635,general,"SQLSTATE[HY093]: Invalid parameter number"
636,general,"SQLSTATE[HY093]: Invalid parameter number"
637,general,"SQLSTATE[HY093]: Invalid parameter number"
638,general,"SQLSTATE[HY093]: Invalid parameter number"
639,general,"SQLSTATE[HY093]: Invalid parameter number"
640,general,"SQLSTATE[HY093]: Invalid parameter number"
641,general,"SQLSTATE[HY093]: Invalid parameter number"
642,general,"SQLSTATE[HY093]: Invalid parameter number"
643,general,"SQLSTATE[HY093]: Invalid parameter number"
644,general,"SQLSTATE[HY093]: Invalid parameter number"
645,general,"SQLSTATE[HY093]: Invalid parameter number"
646,general,"SQLSTATE[HY093]: Invalid parameter number"
647,general,"SQLSTATE[HY093]: Invalid parameter number"
648,general,"SQLSTATE[HY093]: Invalid parameter number"
649,general,"SQLSTATE[HY093]: Invalid parameter number"
650,general,"SQLSTATE[HY093]: Invalid parameter number"
651,general,"SQLSTATE[HY093]: Invalid parameter number"
652,general,"SQLSTATE[HY093]: Invalid parameter number"
653,general,"SQLSTATE[HY093]: Invalid parameter number"
654,general,"SQLSTATE[HY093]: Invalid parameter number"
655,general,"SQLSTATE[HY093]: Invalid parameter number"
656,general,"SQLSTATE[HY093]: Invalid parameter number"
657,general,"SQLSTATE[HY093]: Invalid parameter number"
658,general,"SQLSTATE[HY093]: Invalid parameter number"
659,general,"SQLSTATE[HY093]: Invalid parameter number"
660,general,"SQLSTATE[HY093]: Invalid parameter number"
661,general,"SQLSTATE[HY093]: Invalid parameter number"
662,general,"SQLSTATE[HY093]: Invalid parameter number"
663,general,"SQLSTATE[HY093]: Invalid parameter number"
664,general,"SQLSTATE[HY093]: Invalid parameter number"
665,general,"SQLSTATE[HY093]: Invalid parameter number"
666,general,"SQLSTATE[HY093]: Invalid parameter number"
667,general,"SQLSTATE[HY093]: Invalid parameter number"
668,general,"SQLSTATE[HY093]: Invalid parameter number"
669,general,"SQLSTATE[HY093]: Invalid parameter number"
670,general,"SQLSTATE[HY093]: Invalid parameter number"
671,general,"SQLSTATE[HY093]: Invalid parameter number"
672,general,"SQLSTATE[HY093]: Invalid parameter number"
673,general,"SQLSTATE[HY093]: Invalid parameter number"
674,general,"SQLSTATE[HY093]: Invalid parameter number"
675,general,"SQLSTATE[HY093]: Invalid parameter number"
676,general,"SQLSTATE[HY093]: Invalid parameter number"
677,general,"SQLSTATE[HY093]: Invalid parameter number"
678,general,"SQLSTATE[HY093]: Invalid parameter number"
679,general,"SQLSTATE[HY093]: Invalid parameter number"
680,general,"SQLSTATE[HY093]: Invalid parameter number"
681,general,"SQLSTATE[HY093]: Invalid parameter number"
682,general,"SQLSTATE[HY093]: Invalid parameter number"
683,general,"SQLSTATE[HY093]: Invalid parameter number"
684,general,"SQLSTATE[HY093]: Invalid parameter number"
685,general,"SQLSTATE[HY093]: Invalid parameter number"
686,general,"SQLSTATE[HY093]: Invalid parameter number"
687,general,"SQLSTATE[HY093]: Invalid parameter number"
688,general,"SQLSTATE[HY093]: Invalid parameter number"
689,general,"SQLSTATE[HY093]: Invalid parameter number"
690,general,"SQLSTATE[HY093]: Invalid parameter number"
691,general,"SQLSTATE[HY093]: Invalid parameter number"
692,general,"SQLSTATE[HY093]: Invalid parameter number"
693,general,"SQLSTATE[HY093]: Invalid parameter number"
694,general,"SQLSTATE[HY093]: Invalid parameter number"
695,general,"SQLSTATE[HY093]: Invalid parameter number"
696,general,"SQLSTATE[HY093]: Invalid parameter number"
697,general,"SQLSTATE[HY093]: Invalid parameter number"
698,general,"SQLSTATE[HY093]: Invalid parameter number"
699,general,"SQLSTATE[HY093]: Invalid parameter number"
700,general,"SQLSTATE[HY093]: Invalid parameter number"
701,general,"SQLSTATE[HY093]: Invalid parameter number"
702,general,"SQLSTATE[HY093]: Invalid parameter number"
703,general,"SQLSTATE[HY093]: Invalid parameter number"
704,general,"SQLSTATE[HY093]: Invalid parameter number"
705,general,"SQLSTATE[HY093]: Invalid parameter number"
706,general,"SQLSTATE[HY093]: Invalid parameter number"
707,general,"SQLSTATE[HY093]: Invalid parameter number"
708,general,"SQLSTATE[HY093]: Invalid parameter number"
709,general,"SQLSTATE[HY093]: Invalid parameter number"
710,general,"SQLSTATE[HY093]: Invalid parameter number"
711,general,"SQLSTATE[HY093]: Invalid parameter number"
712,general,"SQLSTATE[HY093]: Invalid parameter number"
713,general,"SQLSTATE[HY093]: Invalid parameter number"
714,general,"SQLSTATE[HY093]: Invalid parameter number"
715,general,"SQLSTATE[HY093]: Invalid parameter number"
716,general,"SQLSTATE[HY093]: Invalid parameter number"
717,general,"SQLSTATE[HY093]: Invalid parameter number"
718,general,"SQLSTATE[HY093]: Invalid parameter number"
719,general,"SQLSTATE[HY093]: Invalid parameter number"
720,general,"SQLSTATE[HY093]: Invalid parameter number"
721,general,"SQLSTATE[HY093]: Invalid parameter number"
722,general,"SQLSTATE[HY093]: Invalid parameter number"
723,general,"SQLSTATE[HY093]: Invalid parameter number"
724,general,"SQLSTATE[HY093]: Invalid parameter number"
725,general,"SQLSTATE[HY093]: Invalid parameter number"
726,general,"SQLSTATE[HY093]: Invalid parameter number"
727,general,"SQLSTATE[HY093]: Invalid parameter number"
728,general,"SQLSTATE[HY093]: Invalid parameter number"
729,general,"SQLSTATE[HY093]: Invalid parameter number"
730,general,"SQLSTATE[HY093]: Invalid parameter number"
